taxon,n.taxa
Acevedoa_integerrimum_a,2
Allophylastrum_frutescens,1
Allophylus_leucoclados,71
Allophylus_psilospermus,71
Allophylus_semidentatus,70
Athyana_weinmanniifolia,1
Bridgesia_incisifolia,1
Cardiospermum_anomalum,2
Cardiospermum_corindum_a,1
Cardiospermum_grandiflorum_a,1
Cardiospermum_halicacabum_a,1
Cardiospermum_urvilleoides,1
Diatenopteryx_sorbifolia,2
Lophostigma_plumosum_a,1
Lophostigma_schunkei_a,1
Paullinia_acutangula_a,3
Paullinia_alata_a,2
Paullinia_alsmithii,2
Paullinia_anodonta,2
Paullinia_austin-smithii,2
Paullinia_bicorniculata_a,2
Paullinia_bidentata,2
Paullinia_bilobulata_a,2
Paullinia_boliviana,2
Paullinia_bracteosa,2
Paullinia_capreolata_a,2
Paullinia_carpopoda,2
Paullinia_cauliflora_a,2
Paullinia_cearensis,2
Paullinia_cf._microneura,2
Paullinia_clavigera_a,2
Paullinia_coriacea_a,2
Paullinia_correae,2
Paullinia_costata,2
Paullinia_cristata,2
Paullinia_cururu_a,2
Paullinia_dasystachya,2
Paullinia_degranvillei,2
Paullinia_densiflora,2
Paullinia_dodgei,2
Paullinia_echinata,2
Paullinia_elegans_a,2
Paullinia_elliptica,2
Paullinia_enneaphylla,2
Paullinia_eriocarpa_a,2
Paullinia_exalata,2
Paullinia_ferruginea,2
Paullinia_fistulosa,2
Paullinia_fuscescens,2
Paullinia_globosa_a,2
Paullinia_granatensis,2
Paullinia_hystrix,2
Paullinia_imberbis_a,2
Paullinia_ingifolia_a,2
Paullinia_jamaicensis,2
Paullinia_josecuatrii,2
Paullinia_killipii,2
Paullinia_latifolia,2
Paullinia_leiocarpa_a,2
Paullinia_lingulata,2
Paullinia_livescens,2
Paullinia_macrocarpa_a,2
Paullinia_macrophylla,2
Paullinia_meliifolia,2
Paullinia_micrantha_a,2
Paullinia_neglecta_a,2
Paullinia_nobilis,2
Paullinia_obovata,2
Paullinia_olivacea_a,2
Paullinia_paullinioides,2
Paullinia_pinnata_a,2
Paullinia_plagioptera,2
Paullinia_platymisca_a,2
Paullinia_prevostiana_a,2
Paullinia_pseudota,2
Paullinia_reticulata_a,2
Paullinia_revoluta,2
Paullinia_rhomboidea,2
Paullinia_rubiginosa_a,2
Paullinia_rugosa_a,2
Paullinia_selenoptera_a,2
Paullinia_serjaniifolia_a,2
Paullinia_setosa_a,2
Paullinia_simulans_a,2
Paullinia_sp._a,2
Paullinia_sp._b,2
Paullinia_sp._d,2
Paullinia_spicata,2
Paullinia_stellata,2
Paullinia_stenopetala,2
Paullinia_stipularis,2
Paullinia_tetragona,2
Paullinia_tomentosa,2
Paullinia_tricornis,2
Paullinia_trigonia,2
Paullinia_trilatera,2
Paullinia_trisulca_a,2
Paullinia_turbacensis,2
Paullinia_unifoliolata,2
Paullinia_venezuelana,2
Paullinia_verecunda_a,2
Paullinia_vespertilio_a,2
Paullinia_weinmanniifolia_a,2
Paullinia_xestophylla_a,2
Serjania_acuta,3
Serjania_acutidentata,3
Serjania_adenophylla,3
Serjania_altissima,3
Serjania_ampelopsis,3
Serjania_atrolineata_a,3
Serjania_bahiana,3
Serjania_biternata,3
Serjania_brachycarpa,3
Serjania_calligera,3
Serjania_caracasana,3
Serjania_cardiospermoides,3
Serjania_clematidifolia,3
Serjania_columbiana,3
Serjania_communis_a,3
Serjania_confertiflora_a,3
Serjania_coradinii,3
Serjania_cornigera_a,3
Serjania_corrugata_a,3
Serjania_crassifolia,3
Serjania_diffusa,3
Serjania_dumicola,3
Serjania_dura,3
Serjania_emarginata,3
Serjania_eriocarpa_a,3
Serjania_erythrocaulis,3
Serjania_faveolata,3
Serjania_ferruginea,3
Serjania_flaviflora,3
Serjania_fluminensis_a,3
Serjania_foveata,3
Serjania_fuscifolia,3
Serjania_glutinosa,3
Serjania_grammatophora,3
Serjania_hatschbachii,3
Serjania_impressa,3
Serjania_inebrians,3
Serjania_inflata,3
Serjania_inscripta,3
Serjania_insignis,3
Serjania_lancistipula,3
Serjania_laruotteana,3
Serjania_lateritia,3
Serjania_laxiflora,3
Serjania_leptocarpa,3
Serjania_longistipula,3
Serjania_mansiana_a,3
Serjania_marginata_a,2
Serjania_membranacea,2
Serjania_meridionalis_a,2
Serjania_mexicana_a,2
Serjania_mollis_a,2
Serjania_monogyna,2
Serjania_noxia,2
Serjania_nutans,2
Serjania_orbicularis,2
Serjania_ovalifolia,2
Serjania_oxyphylla,2
Serjania_paniculata,2
Serjania_paradoxa,2
Serjania_paucidentata_a,2
Serjania_pedicellaris,2
Serjania_perulacea,2
Serjania_piscatoria,2
Serjania_platycarpa_a,2
Serjania_polystachya,2
Serjania_psilophylla,2
Serjania_pterarthra,2
Serjania_purpurascens,2
Serjania_pyramidata_a,2
Serjania_racemosa,2
Serjania_rhombea,2
Serjania_rigida,2
Serjania_rubicaulis,2
Serjania_rufa_a,2
Serjania_rufisepala,2
Serjania_salzmanniana,2
Serjania_scopulifera,2
Serjania_seemannii,2
Serjania_seriana_a,2
Serjania_serjanioides,2
Serjania_sp._a,2
Serjania_sp._b,2
Serjania_sphaerococca_a,2
Serjania_striata,2
Serjania_subimpunctata,2
Serjania_subrotundifolia,2
Serjania_sufferruginea,2
Serjania_tailloniana,2
Serjania_tenuifolia,2
Serjania_tenuis,2
Serjania_trachygona,2
Serjania_tripleuria,2
Serjania_triquetra,2
Serjania_tristis,2
Serjania_unidentata,2
Serjania_yucatanensis,2
Thinouia_compressa_a,2
Thinouia_mucronata_a,2
Thinouia_myriantha_a,2
Thinouia_paraguaiensis_a,2
Thinouia_scandens,2
Thinouia_silveirae,1
Thinouia_trifoliolata_a,1
Thinouia_ventricosa_a,1
Thouinia_acuminata,14
Thouinia_trifoliata,13
Urvillea_andersonii,2
Urvillea_chacoensis_a,2
Urvillea_filipes,2
Urvillea_glabra,2
Urvillea_intermedia,2
Urvillea_laevis_a,2
Urvillea_oliveirae,2
Urvillea_stipitata,2
Urvillea_ulmacea_a,2
Urvillea_uniloba_a,2