Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
PAU705	59170206	37893887	64.0	352	350	142	99	93	68	4	46	103	114	219	0	0	35979
PAU708	12128226	9150492	75.4	352	350	292	242	226	182	6	52	99	213	133	0	0	117135
PAU709	42947154	26336413	61.3	351	350	243	217	200	156	5	28	55	228	117	0	0	95802
PAU71	7285192	5116702	70.2	351	349	325	306	282	229	6	18	43	217	130	0	0	153834
PAU710	19507396	12173344	62.4	351	350	298	269	249	199	7	29	48	268	77	0	0	131424
PAU711	23401736	11950442	51.1	351	349	297	260	242	199	7	34	58	261	86	0	0	126591
PAU712	57091402	35263352	61.8	351	350	203	178	162	118	5	26	68	188	146	0	0	70563
PAU713	11220382	6910922	61.6	352	350	326	305	279	221	7	20	39	255	92	0	0	154401
PAU72	28899788	5377577	18.6	349	349	337	314	288	226	4	19	34	241	104	0	0	158916
PAU722	53319634	37584326	70.5	351	350	146	111	105	75	5	42	116	118	219	0	0	44766
PAU725	35950270	24348906	67.7	351	350	252	213	199	164	4	39	77	239	104	0	0	99378
PAU727	30614904	19311435	63.1	351	350	272	246	226	179	3	25	44	248	99	0	0	116220
PAU739	35758022	20331234	56.9	351	351	281	247	225	161	9	32	70	262	85	0	0	110250
PAU745	11440914	5735742	50.1	347	344	325	303	255	176	3	18	36	236	107	0	0	134325
PAU749	17104036	9716811	56.8	349	348	287	267	234	161	4	17	29	216	129	0	0	117159
PAU750	29378168	18779823	63.9	349	348	258	225	209	165	8	32	78	233	113	0	0	104616
PAU754	37019768	25729973	69.5	351	349	248	215	198	156	5	32	84	226	118	0	0	95352
PAU755	12363602	4837639	39.1	347	344	318	300	256	167	4	16	27	241	100	0	0	134712
PAU756	15747878	7821321	49.7	350	348	315	295	245	169	4	17	30	231	113	0	0	128844
PAU758	9895668	3557671	36.0	350	347	338	323	287	198	4	13	23	259	83	0	0	153999
PAU759	42654958	27156544	63.7	350	348	246	219	185	119	3	25	47	208	136	0	0	88101
PAU76	10842542	8805460	81.2	351	350	235	183	175	133	5	52	120	143	204	0	0	83661
PAU761	12504474	4235821	33.9	349	346	329	310	267	187	6	16	23	247	95	0	0	141546
PAU764	15227112	7577573	49.8	348	347	318	300	259	182	3	13	25	242	101	0	0	136092
PAU765	17023128	7922347	46.5	348	346	309	291	247	163	5	15	25	231	111	0	0	129792
PAU767	18615258	9857516	53.0	350	347	302	281	240	166	7	22	40	237	107	0	0	126258
PAU768	13100208	5257325	40.1	348	346	322	298	259	173	4	18	29	232	111	0	0	132927
PAU769	14390024	8393930	58.3	349	347	310	285	254	176	5	24	38	242	104	0	0	128844
PAU770	14961440	10270137	68.6	352	350	306	271	237	171	5	34	64	251	95	0	0	126978
PAU772	11444552	4874193	42.6	348	346	327	309	272	192	5	16	26	245	96	0	0	143556
PAU773	17222904	6535049	37.9	350	348	317	297	256	175	2	17	30	245	99	0	0	129984
PAU782	11083974	4752539	42.9	347	343	322	304	263	182	5	18	29	233	107	0	0	141561
PAU784	25162434	17886356	71.1	350	350	238	237	233	208	6	6	19	213	135	0	0	123189
PAU786	19735316	5317194	26.9	351	349	334	313	288	218	6	19	33	245	101	0	0	155529
PAU787	27429472	18866805	68.8	351	350	234	219	216	187	5	14	20	208	141	0	0	108309
PAU788	22969774	7566257	32.9	350	349	301	290	288	257	10	12	22	222	125	0	0	154551
PAU79	11219468	7957601	70.9	351	350	297	269	248	198	4	27	57	217	130	0	0	127527
PAU792	18989336	10918122	57.5	351	351	251	237	232	206	8	14	34	179	170	0	0	116601
PAU80	24729806	14536595	58.8	349	349	225	186	164	131	2	40	76	164	182	0	0	77016
PAU802	28003142	16087617	57.4	349	349	271	246	206	134	5	24	39	227	119	0	0	99429
PAU803	37586440	29114575	77.5	351	350	219	189	158	113	4	29	59	189	151	0	0	70797
PAU808	19470948	11744291	60.3	349	348	301	274	235	164	3	24	33	248	98	0	0	118197
PAU81	13272138	9705966	73.1	352	350	275	255	235	191	6	23	48	201	147	0	0	121884
PAU812	22338208	16415737	73.5	352	350	275	244	205	138	3	32	69	238	107	0	0	101853
PAU83	16163802	11677054	72.2	351	351	281	263	240	188	6	20	55	231	116	0	0	121155
PAU85	8994670	5077997	56.5	352	351	328	288	270	218	5	39	84	201	146	0	0	149217
PAU86	31125078	21221167	68.2	350	350	239	211	198	155	5	28	66	215	129	0	0	92181
PAU88	4473154	3054404	68.3	352	349	340	325	296	238	7	16	34	177	170	0	0	168087
PAU89	6717592	5168897	76.9	350	348	326	293	273	219	6	32	63	203	145	0	0	147150
PAU9	4832054	3957359	81.9	351	349	325	288	270	219	7	36	82	155	192	0	0	146682
PAU90	16887048	12244985	72.5	352	350	273	248	230	181	5	24	53	210	134	0	0	116772
PAU91	21441074	10047924	46.9	348	348	315	299	271	203	5	11	20	211	134	0	0	142152
PAU93	11646544	4822382	41.4	349	347	322	306	279	217	4	16	30	222	120	0	0	151191
PAU94	5691478	3506434	61.6	352	349	338	312	284	225	7	21	52	201	146	0	0	162336
PAU97	28276394	8048472	28.5	351	349	270	239	223	177	2	33	91	148	198	0	0	109473
PAU98	21031588	2112922	10.0	352	348	346	312	292	239	7	33	50	269	78	0	0	165837
PAU30	25343614	3493444	13.8	352	349	345	322	279	198	7	21	31	257	89	0	0	153597
PAU300	33731594	20270552	60.1	351	349	272	235	221	185	7	37	71	245	102	0	0	112383
PAU308	29546156	18351925	62.1	350	349	284	242	227	185	6	40	81	258	90	0	0	120837
PAU309	15986392	9263493	57.9	351	349	336	305	287	234	6	30	46	289	59	0	0	159921
PAU31	14024594	6735917	48.0	349	347	325	308	265	188	5	12	22	247	94	0	0	141798
PAU311	31312082	17575790	56.1	350	349	291	259	243	195	6	34	55	266	81	0	0	124764
PAU316	7004510	5326335	76.0	352	350	319	304	283	223	6	16	39	205	142	0	0	152211
PAU321	12158480	6695015	55.1	351	348	324	255	246	202	7	70	111	231	116	0	0	134721
PAU33	20659556	3947842	19.1	349	347	330	309	275	199	11	20	41	242	102	0	0	149988
PAU330	34654414	22278783	64.3	350	350	260	226	210	172	4	36	83	240	102	0	0	103971
PAU332	13938964	7365381	52.8	350	349	339	303	286	235	8	35	49	297	51	0	0	162501
PAU334	11608178	5418890	46.7	350	349	342	307	291	237	6	34	53	293	54	0	0	163158
PAU337	13512708	7536589	55.8	350	348	318	255	244	208	11	58	106	244	103	0	0	131874
PAU34	16464010	9055828	55.0	349	346	301	271	230	159	3	28	40	240	105	0	0	116238
PAU343	15824668	9374371	59.2	350	348	297	228	220	185	5	67	118	219	128	0	0	117363
PAU344	20994198	14106494	67.2	350	349	303	264	249	204	7	37	74	261	87	0	0	132078
PAU349	10548382	3691232	35.0	349	345	321	302	275	211	3	16	49	179	164	0	0	146658
PAU35	55624578	26850756	48.3	350	349	243	221	183	123	3	22	39	208	136	0	0	87177
PAU357	6092094	3825663	62.8	352	351	332	307	270	195	8	24	47	218	129	0	0	144606
PAU36	19651232	10185949	51.8	350	350	335	297	274	203	8	34	52	306	41	0	0	147102
PAU37	23342678	2504641	10.7	350	348	341	318	277	198	4	21	37	255	88	0	0	152811
PAU375	13084226	8996832	68.8	352	351	299	270	234	170	6	28	50	227	120	0	0	117699
PAU38	3380230	2184185	64.6	350	348	339	320	280	203	6	15	37	188	158	0	0	156150
PAU382	25142434	8273550	32.9	349	348	315	289	261	186	3	26	43	245	100	0	0	135513
PAU383	62895980	7355863	11.7	352	351	328	293	269	200	3	34	58	274	72	0	0	142971
PAU385	10032750	5029546	50.1	350	348	341	310	278	209	9	29	50	283	64	0	0	157956
PAU386	11452880	7251803	63.3	351	349	335	293	268	196	8	40	60	296	52	0	0	144276
PAU388	5007736	3400287	67.9	351	351	337	322	283	206	7	13	28	198	149	0	0	159345
PAU39	28445360	20276944	71.3	352	349	236	195	164	109	2	41	83	218	121	0	0	79152
PAU390	15787646	10755072	68.1	350	349	331	283	258	184	7	45	68	289	57	0	0	135852
PAU4	14988238	6992603	46.7	350	349	310	303	298	276	20	7	11	186	163	0	0	168942
PAU40	12251640	4160557	34.0	345	343	323	304	264	175	4	16	27	229	111	0	0	139362
PAU403	11362850	7967310	70.1	351	349	330	287	253	180	8	39	56	292	56	0	0	135192
PAU408	21681842	14020528	64.7	352	350	293	257	234	170	7	37	62	251	97	0	0	118887
PAU412	33871388	19167959	56.6	352	352	304	262	238	182	10	39	63	286	59	0	0	123846
PAU415	26217434	14420101	55.0	351	350	306	278	254	188	8	28	51	271	77	0	0	133092
PAU420	20566436	7747622	37.7	349	346	313	292	250	180	6	17	34	248	95	0	0	130413
PAU421	20789390	10846727	52.2	351	350	316	289	264	195	7	26	52	257	89	0	0	136479
PAU423	42240970	23011826	54.5	350	348	247	224	187	125	6	23	42	221	121	0	0	84891
PAU43	11287662	3596355	31.9	348	345	338	320	272	198	3	13	28	248	96	0	0	149784
PAU430	16344400	8356238	51.1	352	348	328	297	267	193	5	30	50	269	76	0	0	139419
PAU438	40799542	26678089	65.4	352	350	259	225	207	148	7	33	69	249	96	0	0	100230
PAU446	75563698	10725280	14.2	352	349	326	303	255	179	5	21	40	239	103	0	0	139203
PAU45	14799296	8344218	56.4	348	345	305	293	258	181	5	10	24	242	102	0	0	127023
PAU450	26673516	10363169	38.9	350	349	294	273	229	155	5	19	32	227	119	0	0	115077
PAU451	24960470	15310765	61.3	352	351	310	275	248	184	7	35	59	288	57	0	0	127170
PAU455	17399588	8616803	49.5	350	348	304	269	242	168	6	33	61	252	93	0	0	123015
PAU457	19087658	9398788	49.2	352	351	330	300	271	203	8	28	46	286	62	0	0	146790
PAU459	42056570	20645851	49.1	352	350	254	223	200	141	8	32	68	220	123	0	0	96729
PAU46	44486670	32006367	71.9	351	351	164	155	152	130	1	9	20	146	204	0	0	66819
PAU464	42486900	30593502	72.0	352	349	210	169	142	91	5	39	73	199	132	0	0	64641
PAU468	16264350	6997990	43.0	351	350	337	302	270	196	9	34	47	287	61	0	0	146433
PAU470	18806222	10965088	58.3	349	349	280	267	236	178	2	9	23	243	104	0	0	120963
PAU471	38642852	13900191	36.0	352	351	278	258	235	175	2	17	39	220	126	0	0	115950
PAU472	47207414	20595125	43.6	352	350	275	238	206	142	5	36	73	246	94	0	0	99075
PAU474	65839560	7276200	11.1	352	351	327	301	252	182	9	24	48	224	120	0	0	140019
PAU477	9634870	7441127	77.2	352	350	274	191	183	157	6	79	176	157	191	0	0	93030
PAU478	22530768	13809978	61.3	351	349	285	252	220	147	6	33	56	252	93	0	0	104847
PAU48	18407302	8515878	46.3	349	347	314	272	254	205	4	43	59	261	82	0	0	139716
PAU480	17763210	9999845	56.3	350	350	306	262	239	172	6	43	89	235	112	0	0	118692
PAU481	27302346	16246991	59.5	351	350	261	229	200	137	6	33	74	217	125	0	0	95397
PAU484	23759722	13485135	56.8	351	348	292	273	233	163	4	18	35	234	110	0	0	118470
PAU487	13581794	9780879	72.0	352	350	290	260	228	158	3	28	51	211	134	0	0	111678
PAU488	21300582	13824233	64.9	351	349	309	277	241	170	7	32	45	277	71	0	0	123798
PAU49	10153838	7511607	74.0	352	350	299	268	235	170	4	29	60	221	128	0	0	119550
PAU491	20269988	9127955	45.0	351	348	285	264	235	170	2	17	28	217	127	0	0	118647
PAU492	20617162	11029497	53.5	349	348	313	292	254	174	4	17	32	260	86	0	0	127143
PAU498	21463900	13813258	64.4	352	349	302	266	241	180	7	32	65	259	89	0	0	121299
PAU5	30024582	18064716	60.2	351	350	194	185	182	164	10	10	22	170	180	0	0	90381
PAU502	4348244	2884801	66.3	351	348	337	319	281	198	8	16	34	200	146	0	0	153480
PAU507	21040076	9864435	46.9	352	350	317	282	253	182	7	35	62	256	92	0	0	130389
PAU508	22105450	13534379	61.2	352	350	293	277	256	194	4	19	40	259	87	0	0	134217
PAU509	37417554	25090275	67.1	351	348	253	235	217	163	5	17	50	239	106	0	0	102000
PAU51	6313162	4254679	67.4	352	349	339	330	301	248	13	10	14	160	187	0	0	174861
PAU511	31894258	13635653	42.8	352	351	292	268	226	153	4	21	30	245	100	0	0	110715
PAU514	34360844	22278490	64.8	352	351	276	237	212	144	5	35	66	247	98	0	0	104916
PAU518	17115124	10361732	60.5	350	349	313	283	250	166	2	27	49	260	88	0	0	123711
PAU519	21525798	10723322	49.8	349	348	308	283	247	172	4	18	35	259	86	0	0	124938
PAU52	20438844	12151271	59.5	351	349	297	290	280	230	4	6	9	259	89	0	0	147300
PAU527	20723356	9102495	43.9	350	350	319	284	258	205	9	35	65	267	81	0	0	135003
PAU528	20002944	10791692	54.0	350	349	340	298	273	209	9	40	61	304	41	0	0	152697
PAU53	20031980	15625576	78.0	351	351	235	224	213	175	2	12	32	209	138	0	0	101283
PAU533	12256570	5579637	45.5	350	348	325	246	232	185	7	75	155	221	126	0	0	129327
PAU54	23143578	13987603	60.4	352	351	257	242	233	193	6	17	36	219	131	0	0	114447
PAU541	20366872	6291268	30.9	348	344	326	313	254	166	7	7	20	197	138	0	0	143949
PAU544	16790036	4087995	24.3	350	347	335	307	255	183	8	25	48	217	125	0	0	145137
PAU547	29604488	19727752	66.6	352	351	215	181	161	108	5	34	81	185	153	0	0	70224
PAU55	46239948	33604435	72.7	352	350	188	177	168	141	4	12	23	173	158	0	0	76002
PAU552	19890264	2604188	13.1	349	348	321	295	254	172	4	25	47	176	166	0	0	133203
PAU558	18305626	8372788	45.7	348	347	316	297	256	180	5	14	31	231	113	0	0	132177
PAU559	8219446	3515099	42.8	352	351	332	317	272	182	9	11	35	130	213	0	0	149691
PAU56	35964490	22971923	63.9	350	349	206	201	186	143	4	5	17	185	163	0	0	85461
PAU560	33928060	8334404	24.6	351	348	323	305	276	206	2	17	43	217	128	0	0	146802
PAU57	24533052	18982004	77.4	352	351	184	168	160	133	3	18	57	153	191	0	0	68472
PAU571	13220018	5099065	38.6	345	339	329	319	264	181	5	6	13	211	123	0	0	150666
PAU572	21711212	10721820	49.4	351	349	304	282	247	176	6	20	40	242	102	0	0	125022
PAU573	15274344	7105280	46.5	347	346	325	302	261	190	3	21	35	236	108	0	0	136998
PAU574	19448946	10876894	55.9	352	349	316	283	248	180	9	32	55	260	84	0	0	130392
PAU575	17913202	8695199	48.5	351	347	333	295	277	213	5	35	57	282	64	0	0	149445
PAU579	12629902	5242379	41.5	350	349	339	305	277	209	15	34	65	269	77	0	0	153345
PAU58	31114260	25025501	80.4	352	351	127	108	104	84	2	20	57	106	207	0	0	40392
PAU581	34487390	13946117	40.4	352	351	271	259	248	214	7	13	33	223	123	0	0	128976
PAU582	58106654	28703622	49.4	351	350	214	207	197	162	5	8	33	165	164	0	0	87597
PAU583	37504242	18326867	48.9	351	348	236	225	214	172	3	11	17	192	145	0	0	100509
PAU586	27909842	16371869	58.7	352	350	252	240	225	182	5	11	42	208	140	0	0	109176
PAU587	13648478	4557426	33.4	348	345	326	309	295	237	9	20	34	174	170	0	0	161910
PAU588	35547158	13040365	36.7	350	349	236	228	217	180	4	8	20	175	170	0	0	104274
PAU589	45697688	23981145	52.5	351	350	214	212	203	171	3	2	14	179	158	0	0	95604
PAU59	92025668	39776962	43.2	352	351	160	154	145	116	4	6	18	143	183	0	0	61836
PAU591	71652712	41437861	57.8	352	351	180	162	154	122	7	19	52	168	160	0	0	64359
PAU595	63594172	47050918	74.0	352	352	160	146	138	116	7	14	65	148	181	0	0	59826
PAU596	33276576	10282845	30.9	352	351	298	288	277	234	7	9	19	232	118	0	0	146787
PAU598	34690306	22725795	65.5	351	351	248	224	212	179	8	23	60	232	112	0	0	105540
